id,word,opt,ans
1,Degrade,"["descend", "humiliate", "inspect", "flatten", "upgrade"]",humiliate
2,Resolve,"["abondon", "determine", "declare innocent", "rewrite", "I'm not sure"]",determine
3,Belittle,"["enrage", "shrink", "put somebody down", "reduce in physical size", "I'm not sure"]","put somebody down"
4,Complimentary,"["done", "flattering", "free", "matching", "I'm not sure"]",matching
5,Sentimental,"["emotional", "lacking focus", "imprecise", "unstable", "I'm not sure"]",emotional
6,Pinnacle,"["award", "front of a ship", "lucky charm", "highest point", "I'm not sure"]","highest point"
7,Egotist,"["boaster", "rebel", "philosopher", "manager", "I'm not sure"]",boaster
8,Cohesive,"["united", "gullible", "tenacious", "filtered", "I'm not sure"]",united
9,Impartial,"["guilty", "expressed in words", "unbiased", "part of a whole", "I'm not sure"]",unbiased
10,Serene,"["sorrowful", "peaceful", "extremely hot", "disorganised", "I'm not sure"]",peaceful
11,Autonomous,"["without a name", "independent", "productive", "uncaring", "I'm not sure"]",independent
12,Catalyst,"["guarantee", "ancestor", "bright color", "cause of a process", "speedy"]","cause of a process"
13,Censor,"["count", "remove objectionable material", "protect from danger", "disapprove of", "I'm not sure"]","remove objectionable material"
14,Impermeable,"["shameless", "slow-moving", "sealed", "momentary", "I'm not sure"]",sealed
15,Mesmerize,"["bury", "remember", "separate", "hypnotize", "I'm not sure"]",hypnotize
16,Lethargic,"["hostile", "weary", "sensitive", "incorrect", "I'm not sure"]",weary
17,Discriminate,"["declare innocent", "accuse", "differentiate", "preserve", "I'm not sure"]",differentiate
18,Uncompromising,"["inflexible", "angry", "shapeless", "without", "I'm not sure"]",inflexible
19,Economical,"["rich", "common", "avoiding waste", "religious", "cheap"]","avoiding waste"
20,Irrefutable,"["certain", "strange", "inferior", "blocked", "inspect"]",certain
21,Laborious,"["knowledgable", "radical", "demanding", "skilled", "I'm not sure"]",demanding
22,Elaborate,"["detailed", "infected", "internal", "struggling", "I'm not sure"]",detailed
23,Anomaly,"["oddity", "agreement", "retirement", "forgetfulness", "I'm not sure"]",oddity
24,Constraint,"["limit", "tightness", "anxiety", "defense", "I'm not sure"]",limit
25,Analogous,"["transforming", "physical", "similar", "irrational", "I'm not sure"]",similar
26,Appropriate,"["take forcefully", "make usable", "make known", "open", "I'm not sure"]","take forcefully"
27,bleak,"["aggressive", "average", "hopeless", "promising", "I'm not sure"]",hopeless
28,decry,"["express sadness", "delay", "speak out against", "refer to", "I'm not sure"]","speak out against"
29,profuse,"["abundant", "confident", "short-tempered", "large", "I'm not sure"]",abundant
30,contentious,"["without planning", "competitive", "causing arguments", "satisfied", "I'm not sure"]","causing arguments"
31,modicum,"["an average size", "playful behavior", "dishonesty", "a small amount", "I'm not sure"]","a small amount"
32,meander,"["set in motion", "speak unclearly", "long for", "wander", "I'm not sure"]",wander
33,pastoral,"["bygone", "wealthy", "rural", "hidden", "I'm not sure"]",rural
34,obscure,"["unique", "argue", "make untidy", "hide from view", "I'm not sure"]","hide from view"
35,maverick,"["conformist", "unwanted person", "radical thinker", "warrior", "I'm not sure"]","radical thinker"
36,tyro,"["liar", "dictator", "businessman", "beginner", "I'm not sure"]",beginner
37,inequity,"["unfairness", "foolishness", "wealth of ideas", "lack of resources", "I'm not sure"]",unfairness
38,despot,"["source", "fraud", "tyrant", "enemy", "I'm not sure"]",tyrant
39,loath,"["hate-filled", "call out", "unnecessary", "reluctant", "I'm not sure"]",reluctant
40,morose,"["scholarly", "gloomy", "plentiful", "righteous", "I'm not sure"]",gloomy
41,proponent,"["adviser", "supporter", "specialist", "energy booster", "I'm not sure"]",supporter
42,obstinate,"["ignorant", "agreeable", "stubborn", "uninformed", "I'm not sure"]",stubborn
43,puerile,"["experienced", "happy", "childish", "uncorrupted", "I'm not sure"]",childish
44,myriad,"["favourable event", "large number", "unwritten rule", "secret location", "I'm not sure"]","large number"
45,expunge,"["erase", "conceal", "attack", "substitute", "I'm not sure"]",erase
46,conductive,"["lacking", "helpful", "joyful", "hostile", "I'm not sure"]",helpful
47,evanescent,"["exited", "short-lived", "powerful", "creative", "I'm not sure"]",short-lived
48,desecrate,"["ruin something holy", "dry up", "consider worthless", "deserve", "I'm not sure"]","ruin something holy"
49,inviolable,"["well-liked", "sacred", "peaceful", "forgotten", "I'm not sure"]",sacred
50,complaisant,"["self-satisfied", "stubborn", "cheerfully obedient", "bossy", "I'm not sure"]","cheerfully obedient"
